linker_id,name,xyz_file,smiles
0,dir_1_c_link__1_NH2__site1,dir_1_c_link__1_NH2__site1.xyz,Nc1ccccc1
1,dir_1_c_link__2_NMe2__site1,dir_1_c_link__2_NMe2__site1.xyz,CN(c1ccccc1)C
2,dir_1_c_link__3_N_iPr2__site1,dir_1_c_link__3_N_iPr2__site1.xyz,CC(N(c1ccccc1)C(C)C)C
3,dir_1_c_link__5_NPh2__site1,dir_1_c_link__5_NPh2__site1.xyz,c1ccc(cc1)N(c1ccccc1)c1ccccc1
4,dir_1_c_link__6_NPhNH2__site1,dir_1_c_link__6_NPhNH2__site1.xyz,Nc1ccc(cc1)N(c1ccc(cc1)N)c1ccccc1
5,dir_1_c_link__7_pipyredine__site1,dir_1_c_link__7_pipyredine__site1.xyz,C1CCN(CC1)c1ccccc1
6,dir_1_c_link__8_p-pyridine__site1,dir_1_c_link__8_p-pyridine__site1.xyz,c1ccc(cc1)c1ccncc1
7,dir_1_c_link__9_m-pyridine__site1,dir_1_c_link__9_m-pyridine__site1.xyz,c1ccc(cc1)c1cccnc1
8,dir_1_c_link__10_o-pyridine__site1,dir_1_c_link__10_o-pyridine__site1.xyz,c1ccc(cc1)c1ccccn1
9,dir_1_c_link__11_pyrazine__site1,dir_1_c_link__11_pyrazine__site1.xyz,c1ccc(cc1)c1cnccn1
10,dir_1_c_link__12_pyramidine_H1__site1,dir_1_c_link__12_pyramidine_H1__site1.xyz,c1ccc(cc1)c1ccncn1
11,dir_1_c_link__13_pyramidine__site1,dir_1_c_link__13_pyramidine__site1.xyz,c1ccc(cc1)c1cncnc1
12,dir_1_c_link__14_pyramidine__site1,dir_1_c_link__14_pyramidine__site1.xyz,c1ccc(cc1)c1ncccn1
13,dir_1_c_link__15_DABCO_H1__site1,dir_1_c_link__15_DABCO_H1__site1.xyz,c1ccc(cc1)[C@H]1C[N@@]2CC[N@]1CC2
14,dir_1_c_link__16_NEt2__site1,dir_1_c_link__16_NEt2__site1.xyz,CCN(c1ccccc1)CC
15,dir_1_c_link__17_base__site1,dir_1_c_link__17_base__site1.xyz,C1C[N@]2CC[C@@H]1C[C@@H]2c1ccccc1
16,dir_1_c_link__18_base__site1,dir_1_c_link__18_base__site1.xyz,C1C[N@]2CC[C@@H]1[C@H](C2)c1ccccc1
17,dir_1_c_link__19_base__site1,dir_1_c_link__19_base__site1.xyz,c1ccc(cc1)[C@]12CC[N@](CC1)CC2
